index,specification
0,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 17.3 44000000
1,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 15.6 43000000
2,hp windows 11 home 512 gb 16 16.1 19000000
3,lenovo amd ryzen 7 octa core 5th gen windows 11 home 512 gb 16 15.6 16000000
4,lenovo intel core i5 11th gen windows 11 home 512 gb 16 14 14000000
5,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14 14000000
6,lenovo windows 10 256 gb 4 15.6 5000000
7,lenovo amd ryzen 7 octa core 5th gen windows 11 home 1 tb 16 gb 13.3 17000000
8,asus intel core i5 10th gen windows 11 home 1 tb 8 gb 15.6 12000000
9,dell windows 11 home 256 gb 8 6000000
10,dell windows 11 home 256 gb 8 5000000
11,dell intel core i5 11th gen windows 11 home 512 gb 16 13.4 28000000
12,lenovo amd ryzen 7 octa core 5th gen windows 10 home 512 gb 16 14 18000000
13,asus amd ryzen 7 dual core 7th gen windows 11 home 512 gb 16 15.6 15000000
14,asus amd ryzen 3 quad core 3rd gen windows 11 home 256 gb 8 15.6 7000000
15,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 32 gb 24000000
16,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 30000000
17,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
18,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
19,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
20,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
21,dell intel core i7 11th gen windows 11 home 512 gb 16 15.6 19000000
22,dell windows 11 home 512 gb 8 15.6 13000000
23,avita windows 11 home 128 gb 4 4000000
24,asus intel core i5 12th gen windows 11 home 512 gb 16 14000000
25,asus intel core i7 12th gen windows 11 home 512 gb 16 14 18000000
26,asus intel core i5 12th gen windows 11 home 512 gb 16 14 17000000
27,asus intel core i7 12th gen windows 11 home 1 tb 16 gb 14 25000000
28,asus intel core i5 12th gen windows 11 home 512 gb 16 14000000
29,asus intel core i7 12th gen windows 11 home 512 gb 16 14 20000000
30,asus intel core i7 12th gen windows 11 home 512 gb 16 18000000
31,asus intel core i5 12th gen windows 11 home 512 gb 16 14 21000000
32,dell windows 11 home 256 gb 8 14 8000000
33,asus amd ryzen 7 hexa core 10th gen windows 10 home 512 gb 8 15.6 15000000
34,asus amd ryzen 9 octa core 10th gen windows 11 home 512 gb 16 16.6 20000000
35,asus intel core i5 10th gen windows 11 home 256 gb 8 15.6 8000000
36,asus intel core i5 11th gen windows 10 home 256 gb 8 15.6 12000000
37,asus amd ryzen 7 quad core 10th gen windows 10 home 512 gb 8 17.3 15000000
38,asus intel core i5 11th gen windows 11 home 512 gb 16 14 11000000
39,asus intel core i5 10th gen windows 11 home 512 gb 8 15.6 9000000
40,dell intel core i7 12th gen windows 11 home 1 tb 16 gb 26000000
41,dell intel core i5 12th gen windows 11 home 512 gb 16 16000000
42,dell intel core i7 12th gen windows 11 home 512 gb 16 24000000
43,asus intel core i3 11th gen windows 10 home 256 gb 8 15.6 7000000
44,dell intel core i5 11th gen windows 11 home 512 gb 16 15.6 14000000
45,dell intel core i7 12th gen windows 11 home 1 tb 16 gb 22000000
46,dell intel core i7 12th gen windows 11 home 512 gb 16 20000000
47,dell intel core i5 11th gen windows 11 home 512 gb 8 15.6 13000000
48,acer intel core i5 11th gen windows 11 home 512 gb 8 9000000
49,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
50,asus intel core i3 10th gen windows 11 home 8 gb 15.6 5000000
51,asus intel core i5 11th gen windows 11 home 512 gb 16 15.6 12000000
52,hp intel core i5 11th gen windows 11 home 512 gb 8 12000000
53,hp windows 11 home 512 gb 16 14 13000000
54,hp windows 11 home 512 gb 16 14 12000000
55,asus intel core i5 11th gen windows 10 home 1 tb 8 gb 15.6 15000000
56,acer windows 11 home 256 gb 4 4000000
57,acer windows 11 home 128 gb 4 4000000
58,acer intel core i5 11th gen windows 11 home 512 gb 8 15.6 12000000
59,asus windows 11 home 256 gb 4 14 4000000
60,acer intel core i5 11th gen windows 11 home 512 gb 8 9000000
61,acer intel core i7 12th gen windows 11 home 512 gb 16 15.6 20000000
62,hp windows 10 home 512 gb 8 14000000
63,hp intel core i7 12th gen windows 11 home 1 tb 16 gb 16.1 24000000
64,lenovo intel core i3 11th gen windows 10 home 512 gb 8 15.6 10000000
65,asus amd ryzen 5 quad core 3rd gen windows 11 home 512 gb 8 15.6 8000000
66,dell windows 11 home 256 gb 8 15.6 7000000
67,asus intel core i5 11th gen windows 11 home 256 gb 8 15.6 12000000
68,asus amd ryzen 7 quad core 10th gen windows 11 home 512 gb 16 15.6 17000000
69,dell windows 10 home 512 gb 16 13000000
70,dell intel core i5 11th gen windows 10 512 gb 16 17000000
71,asus intel core i7 12th gen windows 11 home 512 gb 16 15.6 22000000
72,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 17.3 44000000
73,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 15.6 43000000
74,hp windows 11 home 512 gb 16 16.1 19000000
75,lenovo amd ryzen 7 octa core 5th gen windows 11 home 512 gb 16 15.6 16000000
76,lenovo intel core i5 11th gen windows 11 home 512 gb 16 14 14000000
77,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14 14000000
78,lenovo windows 10 256 gb 4 15.6 5000000
79,lenovo amd ryzen 7 octa core 5th gen windows 11 home 1 tb 16 gb 13.3 17000000
80,asus intel core i5 10th gen windows 11 home 1 tb 8 gb 15.6 12000000
81,dell windows 11 home 256 gb 8 6000000
82,dell windows 11 home 256 gb 8 5000000
83,dell intel core i5 11th gen windows 11 home 512 gb 16 13.4 28000000
84,lenovo amd ryzen 7 octa core 5th gen windows 10 home 512 gb 16 14 18000000
85,asus amd ryzen 7 dual core 7th gen windows 11 home 512 gb 16 15.6 15000000
86,asus amd ryzen 3 quad core 3rd gen windows 11 home 256 gb 8 15.6 7000000
87,asus amd ryzen 9 octa core 5th gen windows 10 home 1 tb 32 gb 24000000
88,msi intel core i7 11th gen windows 10 home 1 tb 16 gb 30000000
89,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
90,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
91,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
92,realme intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
93,dell intel core i7 11th gen windows 11 home 512 gb 16 15.6 19000000
94,dell windows 11 home 512 gb 8 15.6 13000000
95,avita windows 11 home 128 gb 4 4000000
96,dell windows 11 home 512 gb 16 15.6 17000000
97,hp intel core i3 11th gen windows 11 home 512 gb 8 7000000
98,dell windows 11 home 512 gb 16 15.6 14000000
99,asus windows 11 home 512 gb 8 14 8000000
100,asus intel core i3 11th gen windows 11 home 256 gb 8 9000000
101,asus intel core i5 10th gen windows 11 home 8 gb 15.6 8000000
102,asus windows 11 home 128 gb 4 4000000
103,asus windows 11 home 128 gb 4 5000000
104,asus windows 11 home 512 gb 16 12000000
105,asus intel core i5 11th gen windows 11 home 512 gb 8 12000000
106,asus windows 11 home 512 gb 16 12000000
107,asus windows 11 home 256 gb 4 15.6 5000000
108,asus intel core i3 11th gen windows 11 home 512 gb 8 10000000
109,asus intel core i3 10th gen windows 11 home 512 gb 8 15.6 7000000
110,asus windows 11 home 512 gb 16 14 10000000
111,asus intel core i3 11th gen windows 11 home 8 gb 15.6 6000000
112,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 7000000
113,hp windows 11 home 512 gb 8 11000000
114,hp intel core i9 11th gen windows 11 pro 1 tb 32 gb 15.6 39000000
115,hp chrome 4 gb 5000000
116,hp chrome 4 gb 5000000
117,hp intel core i7 11th gen windows 11 pro 1 tb 16 gb 31000000
118,hp windows 11 home 512 gb 8 10000000
119,hp windows 11 home 512 gb 8 11000000
120,hp windows 11 home 512 gb 8 11000000
121,hp windows 11 home 512 gb 8 10000000
122,hp intel core i7 11th gen windows 11 pro 1 tb 16 gb 31000000
123,dell intel core i3 11th gen windows 11 home 512 gb 8 8000000
124,asus windows 11 home 512 gb 16 15.6 10000000
125,asus intel core i3 11th gen dos 256 gb 4 15.6 6000000
126,lenovo intel core i5 11th gen windows 11 home 512 gb 8 15.6 13000000
127,hp intel core i3 11th gen windows 11 home 512 gb 8 14 10000000
128,hp windows 11 home 8 gb 7000000
129,lenovo windows 11 home 512 gb 16 15.6 14000000
130,lenovo windows 11 home 512 gb 8 15.6 13000000
131,lenovo intel core i3 11th gen windows 11 home 512 gb 8 11000000
132,lenovo windows 11 home 256 gb 4 4000000
133,hp intel core i7 11th gen windows 11 home 512 gb 16 14 16000000
134,lenovo windows 11 home 512 gb 8 11000000
135,lenovo intel core i3 11th gen windows 11 home 512 gb 8 8000000
136,hp intel core i5 11th gen windows 11 home 512 gb 16 14 14000000
137,lenovo intel core i7 11th gen windows 11 home 512 gb 16 19000000
138,dell windows 11 home 512 gb 8 8000000
139,dell intel core i3 10th gen windows 11 home 512 gb 8 15.6 7000000
140,hp intel core i3 11th gen windows 10 home 512 gb 8 8000000
141,dell windows 11 home 512 gb 8 15.6 7000000
142,dell intel core i3 10th gen windows 11 home 256 gb 8 15.6 7000000
143,hp intel core i7 12th gen windows 11 home 1 tb 16 gb 16.1 29000000
144,asus intel core i3 10th gen windows 10 home 256 gb 4 14 7000000
145,hp windows 11 home 512 gb 16 19000000
146,hp windows 11 home 1 tb 16 gb 16.1 23000000
147,hp intel core i3 11th gen windows 11 home 8 gb 15.6 7000000
148,hp windows 11 home 8 gb 15.6 7000000
149,asus windows 11 home 512 gb 8 16000000
150,asus intel core i5 10th gen windows 11 home 512 gb 8 11000000
151,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
152,asus windows 11 home 1 tb 16 gb 21000000
153,asus windows 11 home 1 tb 16 gb 25000000
154,hp windows 11 home 256 gb 8 14 6000000
155,lenovo windows 11 home 512 gb 16 13.3 15000000
156,asus intel pentium quad core 10th gen windows 11 home 128 gb 4 13.3 10000000
157,asus intel core i7 11th gen windows 10 home 512 gb 16 17.3 18000000
158,hp intel core i5 11th gen windows 10 pro 512 gb 8 15.6 17000000
159,msi intel core i7 12th gen windows 11 home 1 tb 16 gb 15.6 49000000
160,msi intel core i7 12th gen windows 11 home 1 tb 16 gb 15.6 34000000
161,samsung windows 11 home 4 gb 7000000
162,acer intel core i9 11th gen windows 11 home 1 tb 16 gb 27000000
163,lenovo intel core i5 10th gen dos 4 gb 14 9000000
164,hp intel core i7 11th gen windows 11 home 1 tb 16 gb 22000000
165,hp intel core i7 11th gen windows 11 home 1 tb 16 gb 22000000
166,asus windows 11 home 4 gb 15.6 5000000
167,msi intel core i7 11th gen windows 10 home 512 gb 8 15.6 16000000
168,hp windows 10 home 512 gb 8 15.6 9000000
169,hp intel core i3 10th gen windows 10 pro 512 gb 8 14 10000000
170,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 9000000
171,asus windows 11 home 4 gb 11.6 5000000
172,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 8000000
173,asus windows 11 home 512 gb 16 11000000
174,asus windows 11 home 512 gb 16 15.6 11000000
175,asus windows 11 home 4 gb 4000000
176,asus intel core i3 10th gen windows 11 home 8 gb 15.6 6000000
177,asus windows 11 home 4 gb 4000000
178,asus windows 11 home 256 gb 8 6000000
179,asus intel core i5 11th gen windows 11 home 512 gb 16 14 21000000
180,asus windows 11 home 1 tb 16 gb 21000000
181,asus intel core i9 12th gen windows 11 home 1 tb 32 gb 15.6 57000000
182,asus windows 11 home 512 gb 16 21000000
183,infinix intel core i7 10th gen windows 11 home 512 gb 16 9000000
184,asus windows 11 home 512 gb 16 20000000
185,asus windows 11 home 1 tb 16 gb 21000000
186,infinix intel core i7 10th gen windows 11 home 512 gb 16 9000000
187,asus intel core i9 12th gen windows 11 home 2 tb 32 gb 15.6 50000000
188,asus windows 11 home 1 tb 16 gb 14 19000000
189,asus windows 11 home 1 tb 8 gb 14 22000000
190,asus windows 10 home 1 tb 8 gb 19000000
191,asus windows 11 home 1 tb 16 gb 31000000
192,asus intel core i5 11th gen windows 11 home 512 gb 16 15000000
193,asus windows 11 home 1 tb 16 gb 25000000
194,asus intel core i5 11th gen windows 11 home 256 gb 8 14 9000000
195,asus intel core i7 11th gen windows 11 home 1 tb 16 gb 18000000
196,dell intel core i3 10th gen windows 11 home 512 gb 8 7000000
197,asus intel core i5 11th gen windows 11 home 512 gb 8 13000000
198,asus intel core i3 11th gen windows 11 home 256 gb 8 6000000
199,dell windows 10 home 8 gb 15.6 10000000
200,hp windows 11 home 256 gb 8 14 6000000
201,asus intel core i5 11th gen windows 11 home 512 gb 16 15000000
202,asus intel core i7 11th gen windows 11 home 512 gb 16 17000000
203,asus windows 11 home 1 tb 16 gb 21000000
204,dell intel core i3 11th gen windows 10 home 256 gb 8 8000000
205,hp windows 10 home 512 gb 8 16.1 13000000
206,acer windows 11 home 4 gb 15.6 5000000
207,acer intel core i3 11th gen windows 11 home 256 gb 4 15.6 6000000
208,acer intel core i3 11th gen windows 11 home 512 gb 8 7000000
209,hp intel core i5 11th gen windows 10 home 512 gb 8 16.1 15000000
210,acer intel core i5 11th gen windows 11 home 8 gb 9000000
211,acer windows 11 home 256 gb 4 4000000
212,lenovo intel core i5 11th gen windows 11 home 512 gb 16 12000000
213,lenovo intel core i3 11th gen windows 11 home 512 gb 8 7000000
214,lenovo intel core i5 10th gen windows 11 home 512 gb 8 8000000
215,lenovo intel core i5 11th gen windows 11 home 512 gb 8 9000000
216,asus intel core i3 11th gen windows 11 home 512 gb 8 14.1 8000000
217,asus windows 11 home 4 gb 15.6 5000000
218,lenovo windows 11 home 1 tb 16 gb 14 13000000
219,lenovo intel core i5 11th gen windows 10 home 512 gb 8 14 11000000
220,msi intel core i5 11th gen windows 10 home 512 gb 8 14000000
221,msi amd ryzen 5 hexa core 5th gen windows 10 home 256 gb 8 14 9000000
222,hp intel core i3 11th gen windows 11 home 256 gb 8 15.6 7000000
223,dell windows 11 home 512 gb 16 15.6 21000000
224,dell intel core i5 11th gen windows 11 home 512 gb 16 15.6 16000000
225,dell intel core i7 11th gen windows 11 home 512 gb 16 15.6 19000000
226,msi intel core i7 11th gen windows 10 home 512 gb 16 18000000
227,dell intel core i7 11th gen windows 11 home 512 gb 16 15.6 19000000
228,msi amd ryzen 7 octa core 5th gen windows 11 home 512 gb 8 15.6 13000000
229,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
230,hp intel core i5 11th gen windows 11 home 512 gb 8 10000000
231,hp intel core i5 11th gen windows 11 home 512 gb 8 15.6 11000000
232,acer intel core i5 11th gen windows 11 home 8 gb 9000000
233,acer windows 11 home 512 gb 8 15.6 6000000
234,hp intel core i3 11th gen windows 11 home 512 gb 8 8000000
235,acer windows 11 home 512 gb 4 6000000
236,asus intel core i3 11th gen windows 11 home 512 gb 8 14 8000000
237,asus intel core i5 11th gen windows 11 home 512 gb 16 16000000
238,lenovo intel core i3 10th gen windows 11 home 8 gb 15.6 7000000
239,asus windows 11 home 512 gb 16 17000000
240,asus intel core i3 11th gen windows 11 home 512 gb 8 14 8000000
241,asus windows 11 home 4 gb 13.3 8000000
242,asus windows 11 home 256 gb 8 10000000
243,asus intel core i7 11th gen windows 11 home 512 gb 16 20000000
244,asus intel core i7 11th gen windows 11 home 1 tb 16 gb 14 25000000
245,asus intel core i5 11th gen windows 11 home 512 gb 8 14 19000000
246,asus intel core i3 11th gen windows 11 home 512 gb 8 14 8000000
247,asus intel core i5 11th gen windows 11 home 512 gb 16 16000000
248,asus intel core i3 11th gen windows 11 home 512 gb 8 14 8000000
249,asus windows 11 home 256 gb 4 5000000
250,asus intel core i5 11th gen windows 11 home 512 gb 16 14 21000000
251,asus intel core i5 11th gen windows 11 home 512 gb 8 14 19000000
252,dell intel core i5 11th gen windows 11 home 512 gb 16 15.6 13000000
253,dell intel core i5 10th gen windows 11 home 512 gb 16 15.6 13000000
254,lenovo intel core i5 11th gen windows 11 home 512 gb 16 14 13000000
255,hp windows 11 home 512 gb 8 15.6 9000000
256,hp windows 11 home 512 gb 8 15.6 9000000
257,hp intel core i3 11th gen windows 11 home 512 gb 8 15.6 8000000
258,lenovo intel core i5 11th gen windows 11 home 512 gb 8 15.6 10000000
259,asus windows 10 home 512 gb 16 14 15000000
260,asus windows 10 home 512 gb 16 14 15000000
261,asus intel core i5 11th gen windows 11 home 512 gb 16 14 12000000
262,asus intel core i3 10th gen windows 10 pro 256 gb 8 15.6 7000000
263,acer windows 11 home 1 tb 16 gb 14 19000000
264,acer intel core i5 11th gen windows 11 home 512 gb 8 14000000
265,lenovo intel core i3 10th gen windows 11 home 8 gb 6000000
266,dell intel core i5 11th gen windows 11 home 512 gb 8 15.6 16000000
267,acer intel core i9 11th gen windows 11 home 1 tb 16 gb 15.6 26000000
268,acer intel core i9 11th gen windows 11 home 1 tb 32 gb 15.6 32000000
269,dell intel pentium quad core 11th gen windows 11 home 256 gb 4 15.6 6000000
270,lenovo intel core i3 10th gen windows 11 home 256 gb 4 14 6000000
271,dell intel core i3 11th gen windows 11 home 256 gb 16 15.6 9000000
272,asus intel core i3 11th gen windows 11 home 256 gb 8 15.6 7000000
273,asus windows 10 home 512 gb 16 17.3 15000000
274,hp intel core i5 11th gen windows 11 home 512 gb 8 10000000
275,hp windows 11 home 256 gb 8 5000000
276,hp windows 11 home 512 gb 8 7000000
277,dell intel core i5 11th gen windows 11 home 512 gb 8 14 10000000
278,dell windows 11 home 256 gb 8 15.6 8000000
279,dell intel core i5 11th gen windows 11 home 512 gb 16 14 13000000
280,msi intel core i7 12th gen windows 11 home 1 tb 16 gb 15.6 26000000
281,asus intel core i5 11th gen windows 11 home 512 gb 8 15000000
282,dell intel core i3 11th gen windows 11 home 256 gb 4 14 8000000
283,msi intel core i7 12th gen windows 11 home 1 tb 32 gb 53000000
284,dell intel core i5 11th gen windows 11 home 512 gb 16 14 11000000
285,dell intel core i5 11th gen windows 11 home 256 gb 8 15.6 11000000
286,dell intel core i3 10th gen windows 11 home 256 gb 8 7000000
287,dell intel core i3 11th gen windows 11 home 256 gb 8 7000000
288,msi amd ryzen 9 octa core 5th gen windows 11 home 1 tb 16 gb 15.6 24000000
289,acer windows 11 home 512 gb 8 15.6 9000000
290,dell windows 11 home 256 gb 8 7000000
291,lenovo intel core i3 10th gen windows 11 home 8 gb 15.6 7000000
292,hp windows 11 home 512 gb 8 15.6 7000000
293,lenovo intel core i3 10th gen windows 11 home 512 gb 8 15.6 7000000
294,lenovo intel core i3 10th gen windows 11 home 256 gb 4 6000000
295,lenovo intel core i5 11th gen windows 10 pro 512 gb 8 15.6 17000000
296,hp windows 11 home 512 gb 8 14 9000000
297,asus amd ryzen 9 octa core 9th gen windows 11 home 1 tb 16 gb 24000000
298,dell intel core i3 11th gen windows 10 home 256 gb 8 15.6 9000000
299,msi intel core i5 11th gen windows 10 home 512 gb 8 14 8000000
300,msi intel core i7 11th gen windows 10 home 512 gb 8 14 14000000
301,hp intel core i3 11th gen windows 11 home 256 gb 8 14 10000000
302,asus intel core i3 11th gen windows 11 home 512 gb 8 14 10000000
303,asus intel core i5 11th gen windows 11 home 512 gb 8 14 12000000
304,asus intel core i3 11th gen windows 11 home 256 gb 8 9000000
305,hp windows 11 home 512 gb 8 14 8000000
306,asus windows 11 home 256 gb 8 14.1 6000000
307,asus windows 11 home 256 gb 8 14 6000000
308,asus intel core i3 10th gen windows 10 home 4 gb 15.6 7000000
309,lenovo windows 11 home 512 gb 16 15.6 14000000
310,acer intel core i3 11th gen windows 10 home 4 gb 15.6 7000000
311,lenovo windows 11 home 512 gb 16 15000000
312,hp intel core i7 11th gen windows 10 pro 512 gb 8 14 22000000
313,lenovo windows 11 home 1 tb 16 gb 13.3 15000000
314,lenovo intel core i5 11th gen windows 11 home 512 gb 16 13000000
315,lenovo intel core i3 10th gen windows 11 home 512 gb 8 6000000
316,lenovo intel core i7 11th gen windows 11 home 512 gb 16 14.22 16000000
317,lenovo intel core i3 11th gen windows 11 home 512 gb 8 14 7000000
318,hp intel core i7 11th gen windows 11 home 1 tb 16 gb 25000000
319,asus intel core i3 11th gen windows 11 home 512 gb 8 15.6 7000000
320,lenovo intel core i3 11th gen windows 11 home 256 gb 8 15 7000000
321,dell intel core i5 11th gen windows 11 home 256 gb 8 15.6 11000000
322,lg intel core i5 11th gen windows 11 home 256 gb 8 14 14000000
323,lg intel core i5 11th gen windows 11 home 256 gb 8 14 14000000
324,lenovo intel core i3 11th gen windows 11 home 256 gb 8 7000000
325,lg intel core i5 11th gen windows 11 home 512 gb 8 16 16000000
326,acer windows 11 home 512 gb 8 15.6 8000000
327,asus windows 10 home 512 gb 16 15.6 18000000
328,acer intel core i3 11th gen windows 11 home 256 gb 4 15.6 6000000
329,asus windows 10 home 1 tb 16 gb 15.6 25000000
